time,pitch,roll,co2
2022/12/22 19:12:06,83.56601,-0.156,0
2022/12/22 19:12:07,83.736,0.319,0
2022/12/22 19:12:08,84.74299,0.782,0
2022/12/22 19:12:10,84.096,1.098,0
2022/12/22 19:12:11,84.03399,0.738,0
2022/12/22 19:12:12,84.09801,0.428,0
2022/12/22 19:12:13,83.878,0.799,0
2022/12/22 19:12:14,83.47,1.387,0
2022/12/22 19:12:16,84.324,1.466,0
2022/12/22 19:12:17,82.818,0.844,0
2022/12/22 19:12:18,82.527,0.776,0
2022/12/22 19:12:19,83.07,0.364,0
2022/12/22 19:12:21,82.98201,0.473,0
2022/12/22 19:12:22,83.05301,0.313,0
2022/12/22 19:12:23,83.39,0.976,0
2022/12/22 19:12:24,82.839,0.895,0
2022/12/22 19:12:25,83.21,1.319,0
2022/12/22 19:12:27,83.127,0.635,0
2022/12/22 19:12:28,83.435,0.422,0
2022/12/22 19:12:29,83.446,0.741,0
2022/12/22 19:12:30,83.237,0.672,0
2022/12/22 19:12:31,83.80401,0.309,0
2022/12/22 19:12:33,83.24,1.211,0
2022/12/22 19:12:34,82.875,1.198,0
2022/12/22 19:12:35,83.203,0.259,0
2022/12/22 19:12:36,84.612,1.146,0
2022/12/22 19:12:37,83.307,1.063,0
2022/12/22 19:12:39,83.491,0.522,0
2022/12/22 19:12:40,84.67501,0.478,0
2022/12/22 19:12:41,83.343,0.469,0
2022/12/22 19:12:43,83.243,0.104,0
2022/12/22 19:12:44,83.858,-0.262,0
2022/12/22 19:12:45,83.287,0.311,0
2022/12/22 19:12:46,83.641,0.529,0
2022/12/22 19:12:47,83.872,0.996,0
2022/12/22 19:12:48,69.665,1.166,0
2022/12/22 19:12:50,-0.149,2.763,0
2022/12/22 19:12:51,0.539,3.775,0
2022/12/22 19:12:52,-0.298,3.101,0
2022/12/22 19:12:53,0.656,3.625,0
2022/12/22 19:12:55,0.297,3.505,0
2022/12/22 19:12:56,0,2.805,0
2022/12/22 19:12:57,0.393,2.397,0
2022/12/22 19:12:58,0.1,2.576,0
2022/12/22 19:12:59,-0.989,3.723,0
2022/12/22 19:13:00,0.5,2.647,0
2022/12/22 19:13:02,0.351,3.446,0
2022/12/22 19:13:03,-0.05,1.892,0
2022/12/22 19:13:04,-0.09799999,3.154,0
2022/12/22 19:13:05,0.698,2.48,0
2022/12/22 19:13:07,0.299,3.891,0
2022/12/22 19:13:08,-0.198,2.503,0
